trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.5, 'e': 0.41294967113388814}",30,0,-2.7904077163194234,"{0: 25, 1: 4, 2: 1, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,6,22.899760939563613,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,0,-25.20424057897425,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.40068465295154054}",25,0,-36.085723454959876,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.3966778064220251}",20,0,-59.35793126607081,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.39271102835780486}",20,9,-4.323782335319502,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.3887839180742268}",20,16,7.6297260153205535,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.38489607889348454}",20,0,-58.33683291906601,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
97,False,"{'a': 0.5, 'e': 0.38104711810454966}",20,0,-2.4143884811800125,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.37723664692350417}",20,6,-20.073232819538152,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.37346428045426916}",25,0,-26.92978101009455,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.36972963764972644}",35,20,-12.394586551592992,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.3660323412732292}",25,9,8.454955123425785,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.3623720178604969}",20,16,7.774187499990395,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.3587482976818919}",20,0,12.0419133415727,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.355160814705073}",20,9,-29.011450690323823,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'a': 0.5, 'e': 0.35160920655802225}",30,11,-26.258598060280537,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.5, 'e': 0.348093114492442}",20,0,-7.130289420363876,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.3446121833475176}",35,25,-23.109379837820313,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.34116606151404244}",25,0,8.353301718157399,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.337754400898902}",25,0,-84.03151702903568,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.334376856889913}",25,0,-54.47717664625413,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.33103308832101386}",25,16,3.8361375053649684,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.3277227574378037}",25,14,17.916927986773214,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.3244455298634257}",25,18,11.432199677384851,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.3212010745647914}",20,8,2.9345122196260123,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
